applicant_name_patstat,company_name_stock,ticker_stock,exchange,country,category,patent_sector,stock_sector,sector_match,parent_match,match_type,match_score,base_score,sequence_similarity,jaro_similarity,levenshtein_similarity,token_similarity,total_patents,confidence_mean,confidence_lower,confidence_upper,confidence_std,alternative_matches
BASF SE,BASF SE,BASFY,PNK,USA,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,399,1.0,1.0,1.0,0.0,9
Novartis AG,Novartis AG,NVS,NYQ,USA,Drug Manufacturers - Major,other,healthcare,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,363,1.0,1.0,1.0,0.0,9
Siemens Aktiengesellschaft,Siemens Aktiengesellschaft,SIEGY,PNK,USA,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,348,1.0,1.0,1.0,0.0,10
Colgate-Palmolive Company,Colgate-Palmolive Company,CL,NYQ,USA,Personal Products,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,321,0.9909683794466404,0.9805765430495892,1.0,0.015468435542687646,10
Dow Global Technologies LLC,DOWA HOLDINGS INC.,DMI.BE,BER,Germany,,other,other,False,True,exact,1.0,1.0195238095238095,0.8571428571428571,0.9416666666666667,0.75,0.0,282,1.0,1.0,1.0,0.0,3
LG Electronics Inc.,LG Electronics Inc.,066570.KS,KSC,South Korea,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,213,1.0,1.0,1.0,0.0,3
NIPPON STEEL & SUMITOMO METAL CORPORATION,Nippon Steel & Sumitomo Metal Corporation,NISTF,PNK,USA,,materials,materials,True,True,exact,1.0,1.25,1.0,1.0,1.0,1.0,206,1.0,1.0,1.0,0.0,2
"Toray Industries, Inc.","Toray Industries, Inc.",TRYIY,PNK,USA,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,195,1.0,1.0,1.0,0.0,2
Sony Corporation,Sony Corporation,SNE,NYQ,USA,Electronic Equipment,other,industrial,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,193,1.0,1.0,1.0,0.0,12
SCHLUMBERGER CANADA LIMITED,Schlumberger Limited,SLB,NYQ,USA,Oil & Gas Equipment & Services,other,industrial,False,True,fuzzy,0.9565195246179966,0.9565195246179966,0.7741935483870968,0.9263157894736842,0.631578947368421,0.5,182,0.9565195246179967,0.9565195246179966,0.9565195246179968,1.1644117316690923e-16,10
Sanofi,Sanofi,SAN.PA,PAR,France,Drug Manufacturers - Major,other,healthcare,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,169,1.0,1.0,1.0,0.0,13
"Mitsubishi Heavy Industries, Ltd.","Mitsubishi Heavy Industries, Ltd.",MHVYF,PNK,USA,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,164,1.0,1.0,1.0,0.0,1
Unilever PLC,Unilever PLC,ULVR.L,LSE,United Kingdom,Personal Products,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,150,1.0,1.0,1.0,0.0,6
"NTT DoCoMo, Inc.","NTT DOCOMO, INC.",DCM,NYQ,USA,Diversified Communication Services,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,136,1.0,1.0,1.0,0.0,8
General Electric Company,General Electric Company,GE,NYQ,USA,Diversified Machinery,utilities,industrial,False,True,exact,1.0,1.0999999999999999,1.0,1.0,1.0,1.0,135,1.0,1.0,1.0,0.0,13
"Nissan Motor Co., Ltd.","Nissan Motor Co., Ltd.",NSANY,PNK,USA,,automotive,automotive,True,True,exact,1.0,1.25,1.0,1.0,1.0,1.0,116,1.0,1.0,1.0,0.0,8
JFE Steel Corporation,JSW Steel Limited,JSWSTEEL.NS,NSI,India,,materials,materials,True,False,fuzzy,0.8961904761904762,0.8961904761904762,0.7777777777777778,0.8238095238095238,0.7777777777777778,0.3333333333333333,108,0.8961904761904762,0.8961904761904762,0.8961904761904762,0.0,1
"Sumitomo Chemical Company, Limited",SUMITOMO CHEM.,SMM.MU,MUN,Germany,,materials,other,False,True,exact,1.0,1.0307843137254902,0.8666666666666667,0.9529411764705882,0.7647058823529411,0.3333333333333333,103,1.0,1.0,1.0,0.0,5
"Honda Motor Co., Ltd.","Honda Motor Co., Ltd.",HMC,NYQ,USA,Auto Manufacturers - Major,automotive,automotive,True,True,exact,1.0,1.25,1.0,1.0,1.0,1.0,103,1.0,1.0,1.0,0.0,8
"Sumitomo Electric Industries, Ltd.","Sumitomo Electric Industries, Ltd.",SMTOY,PNK,USA,,utilities,utilities,True,True,exact,1.0,1.25,1.0,1.0,1.0,1.0,101,1.0,1.0,1.0,0.0,2
E. I. du Pont de Nemours and Company,E. I. du Pont de Nemours and Company,DD,NYQ,USA,Agricultural Chemicals,other,materials,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,0.0,9
Nippon Steel & Sumitomo Metal Corporation,Nippon Steel & Sumitomo Metal Corporation,NISTF,PNK,USA,,materials,materials,True,True,exact,1.0,1.25,1.0,1.0,1.0,1.0,94,1.0,1.0,1.0,0.0,2
Amgen Inc.,Amgen Inc.,AMGN,NMS,USA,Biotechnology,other,technology,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,0.0,8
ALSTOM Technology Ltd,Alstom SA,ALO.PA,PAR,France,Diversified Machinery,other,industrial,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,0.0,7
Panasonic Corporation,PANASONIC CORP.,MAT1.DU,DUS,Germany,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,89,1.0,1.0,1.0,0.0,8
NEC Corporation,NEC CORP.,NEC1.BE,BER,Germany,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,84,1.0,1.0,1.0,0.0,5
"Ricoh Company, Ltd.","Ricoh Company, Ltd.",RICO.L,LSE,United Kingdom,Business Equipment,other,industrial,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,83,1.0,1.0,1.0,0.0,7
"Genentech, Inc.",Genetic Technologies Limited,GENE,NCM,USA,,technology,technology,True,False,fuzzy,0.8952380952380953,0.8952380952380953,0.75,0.9047619047619048,0.6666666666666667,0.0,81,0.8876190476190476,0.8633718376740246,0.9118662575640707,0.015238095238095273,3
Glaxo Group Limited,GLAXO4.BO,GLAXO4.BO,,,,other,other,False,True,fuzzy,0.9112698412698413,0.9112698412698413,0.7142857142857143,0.9111111111111111,0.5555555555555556,0.0,80,0.9112698412698413,0.9112698412698413,0.9112698412698413,0.0,1
Mitsubishi Electric Corporation,Mitsubishi Electric Corporation,MIELY,PNK,USA,,utilities,utilities,True,True,exact,1.0,1.25,1.0,1.0,1.0,1.0,76,0.9860988582567531,0.9727831541760337,0.9994145623374726,0.017323087861081297,8
"Samsung Electronics Co., Ltd.","Samsung Electronics Co., Ltd.",SSNLF,PNK,USA,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,75,1.0,1.0,1.0,0.0,10
THYSSENKRUPP UHDE GMBH,ThyssenKrupp AG,TKA.DE,GER,Germany,Steel & Iron,other,materials,False,True,fuzzy,0.9986815415821501,0.9986815415821501,0.8275862068965517,0.9411764705882353,0.7058823529411764,0.5,74,0.9986815415821501,0.9986815415821501,0.9986815415821501,0.0,6
OUTOTEC OYJ,Outotec Oyj,OUKPY,PNK,USA,,other,other,False,True,exact,1.0,1.15,1.0,1.0,1.0,1.0,73,1.0,1.0,1.0,0.0,4
"Cargill, Incorporated",Carillion plc,CLLN.L,LSE,United Kingdom,General Contractors,automotive,automotive,True,False,fuzzy,0.8666666666666668,0.8666666666666668,0.75,0.888888888888889,0.5555555555555556,0.0,73,0.8666666666666668,0.8666666666666668,0.8666666666666668,0.0,3
