applicant_name_patstat,company_name_stock,ticker_stock,match_score,match_type,sector_match,parent_match,confidence_mean,confidence_lower,confidence_upper,total_patents
BASF SE,BASF SE,BASFY,1.0,exact,False,True,1.0,1.0,1.0,399
Novartis AG,Novartis AG,NVS,1.0,exact,False,True,1.0,1.0,1.0,363
Siemens Aktiengesellschaft,Siemens Aktiengesellschaft,SIEGY,1.0,exact,False,True,1.0,1.0,1.0,348
Colgate-Palmolive Company,Colgate-Palmolive Company,CL,1.0,exact,False,True,0.9909683794466404,0.9805765430495892,1.0,321
Dow Global Technologies LLC,DOWA HOLDINGS INC.,DMI.BE,1.0,exact,False,True,1.0,1.0,1.0,282
LG Electronics Inc.,LG Electronics Inc.,066570.KS,1.0,exact,False,True,1.0,1.0,1.0,213
NIPPON STEEL & SUMITOMO METAL CORPORATION,Nippon Steel & Sumitomo Metal Corporation,NISTF,1.0,exact,True,True,1.0,1.0,1.0,206
"Toray Industries, Inc.","Toray Industries, Inc.",TRYIY,1.0,exact,False,True,1.0,1.0,1.0,195
Sony Corporation,Sony Corporation,SNE,1.0,exact,False,True,1.0,1.0,1.0,193
SCHLUMBERGER CANADA LIMITED,Schlumberger Limited,SLB,0.9565195246179966,fuzzy,False,True,0.9565195246179967,0.9565195246179966,0.9565195246179968,182
Sanofi,Sanofi,SAN.PA,1.0,exact,False,True,1.0,1.0,1.0,169
"Mitsubishi Heavy Industries, Ltd.","Mitsubishi Heavy Industries, Ltd.",MHVYF,1.0,exact,False,True,1.0,1.0,1.0,164
Unilever PLC,Unilever PLC,ULVR.L,1.0,exact,False,True,1.0,1.0,1.0,150
"NTT DoCoMo, Inc.","NTT DOCOMO, INC.",DCM,1.0,exact,False,True,1.0,1.0,1.0,136
General Electric Company,General Electric Company,GE,1.0,exact,False,True,1.0,1.0,1.0,135
"Nissan Motor Co., Ltd.","Nissan Motor Co., Ltd.",NSANY,1.0,exact,True,True,1.0,1.0,1.0,116
JFE Steel Corporation,JSW Steel Limited,JSWSTEEL.NS,0.8961904761904762,fuzzy,True,False,0.8961904761904762,0.8961904761904762,0.8961904761904762,108
"Sumitomo Chemical Company, Limited",SUMITOMO CHEM.,SMM.MU,1.0,exact,False,True,1.0,1.0,1.0,103
"Honda Motor Co., Ltd.","Honda Motor Co., Ltd.",HMC,1.0,exact,True,True,1.0,1.0,1.0,103
"Sumitomo Electric Industries, Ltd.","Sumitomo Electric Industries, Ltd.",SMTOY,1.0,exact,True,True,1.0,1.0,1.0,101
E. I. du Pont de Nemours and Company,E. I. du Pont de Nemours and Company,DD,1.0,exact,False,True,1.0,1.0,1.0,100
Nippon Steel & Sumitomo Metal Corporation,Nippon Steel & Sumitomo Metal Corporation,NISTF,1.0,exact,True,True,1.0,1.0,1.0,94
Amgen Inc.,Amgen Inc.,AMGN,1.0,exact,False,True,1.0,1.0,1.0,90
ALSTOM Technology Ltd,Alstom SA,ALO.PA,1.0,exact,False,True,1.0,1.0,1.0,90
Panasonic Corporation,PANASONIC CORP.,MAT1.DU,1.0,exact,False,True,1.0,1.0,1.0,89
NEC Corporation,NEC CORP.,NEC1.BE,1.0,exact,False,True,1.0,1.0,1.0,84
"Ricoh Company, Ltd.","Ricoh Company, Ltd.",RICO.L,1.0,exact,False,True,1.0,1.0,1.0,83
"Genentech, Inc.",Genetic Technologies Limited,GENE,0.8952380952380953,fuzzy,True,False,0.8876190476190476,0.8633718376740246,0.9118662575640707,81
Glaxo Group Limited,GLAXO4.BO,GLAXO4.BO,0.9112698412698413,fuzzy,False,True,0.9112698412698413,0.9112698412698413,0.9112698412698413,80
Mitsubishi Electric Corporation,Mitsubishi Electric Corporation,MIELY,1.0,exact,True,True,0.9860988582567531,0.9727831541760337,0.9994145623374726,76
"Samsung Electronics Co., Ltd.","Samsung Electronics Co., Ltd.",SSNLF,1.0,exact,False,True,1.0,1.0,1.0,75
THYSSENKRUPP UHDE GMBH,ThyssenKrupp AG,TKA.DE,0.9986815415821501,fuzzy,False,True,0.9986815415821501,0.9986815415821501,0.9986815415821501,74
OUTOTEC OYJ,Outotec Oyj,OUKPY,1.0,exact,False,True,1.0,1.0,1.0,73
"Cargill, Incorporated",Carillion plc,CLLN.L,0.8666666666666668,fuzzy,True,False,0.8666666666666668,0.8666666666666668,0.8666666666666668,73
